,ds,yhat,yhat_lower,yhat_upper,y,cutoff
122,2012-07-10 03:00:00,10.402302511161263,8.960099821009516,11.91947728844516,9.271369824999999,2012-07-10 00:00:00
123,2012-07-10 04:00:00,10.36844783039988,8.93253679419745,11.940195537142511,9.108025488,2012-07-10 00:00:00
124,2012-07-10 05:00:00,10.525629283658638,9.066842188209641,11.939064086560766,9.139824883,2012-07-10 00:00:00
125,2012-07-10 06:00:00,10.798588588306249,9.218965883591476,12.325373448421098,9.501560297,2012-07-10 00:00:00
126,2012-07-10 07:00:00,11.127897065958123,9.580644195125297,12.489913390669944,9.999594816,2012-07-10 00:00:00
127,2012-07-10 08:00:00,11.487705057058735,10.134879260852822,12.990872610664141,10.18136312,2012-07-10 00:00:00
128,2012-07-10 09:00:00,11.876761117610842,10.522873253896018,13.42405964709248,10.517563430000001,2012-07-10 00:00:00
129,2012-07-10 10:00:00,12.296065846251405,10.933414344271458,13.678213305588514,10.934922850000001,2012-07-10 00:00:00
130,2012-07-10 11:00:00,12.7319371549294,11.311347912192383,14.173181575007748,11.41763401,2012-07-10 00:00:00
131,2012-07-10 12:00:00,13.154361900127336,11.633861206202065,14.529261407024524,11.738283229999999,2012-07-10 00:00:00
132,2012-07-10 13:00:00,13.52742654051519,12.018955455886582,15.155864593375753,11.883571389999998,2012-07-10 00:00:00
133,2012-07-10 14:00:00,13.822111465824158,12.466208997559484,15.384579432897803,11.88898062,2012-07-10 00:00:00
134,2012-07-10 15:00:00,14.024086030365453,12.563422545382327,15.459640406164706,11.87177196,2012-07-10 00:00:00
135,2012-07-10 16:00:00,14.134624595829422,12.599640939664713,15.582098018913552,11.9911162,2012-07-10 00:00:00
136,2012-07-10 17:00:00,14.165498773855496,12.78487476899486,15.667592961665422,12.143149939999999,2012-07-10 00:00:00
137,2012-07-10 18:00:00,14.128778381663356,12.706017648015134,15.676190963751608,12.15661698,2012-07-10 00:00:00
138,2012-07-10 19:00:00,14.024066407487698,12.608728809862042,15.635478255967188,11.94795311,2012-07-10 00:00:00
139,2012-07-10 20:00:00,13.830142135811972,12.32632150259055,15.280303127870047,11.75110739,2012-07-10 00:00:00
140,2012-07-10 21:00:00,13.510449561540295,12.026636220759512,15.048283198509171,11.852184569999999,2012-07-10 00:00:00
141,2012-07-10 22:00:00,13.036144214735945,11.530843259374064,14.609604358009994,11.65748979,2012-07-10 00:00:00
142,2012-07-10 23:00:00,12.417195286430646,11.026897686946642,13.896035989660668,11.11378529,2012-07-10 00:00:00
143,2012-07-11 00:00:00,11.721191046093805,10.189572484510448,13.177853602735622,10.3756865,2012-07-10 00:00:00
144,2012-10-18 01:00:00,8.923702127872744,7.360748582439774,10.349532096570066,9.422744616,2012-10-18 00:00:00
145,2012-10-18 02:00:00,8.398030259485617,6.926745168003118,9.85475229083157,9.015240513,2012-10-18 00:00:00
146,2012-10-18 03:00:00,8.114296760061425,6.631369053001702,9.642947749764556,8.746002153,2012-10-18 00:00:00
147,2012-10-18 04:00:00,8.078542391255805,6.560785503817323,9.564144895882338,8.609412140999998,2012-10-18 00:00:00
148,2012-10-18 05:00:00,8.23277076107351,6.6935991707365075,9.836485117978395,8.728633962,2012-10-18 00:00:00
149,2012-10-18 06:00:00,8.498908185632366,7.080573788651233,10.059598566486375,9.209748044,2012-10-18 00:00:00
150,2012-10-18 07:00:00,8.821904683461453,7.492364040743988,10.297859995347181,9.902237888,2012-10-18 00:00:00
151,2012-10-18 08:00:00,9.184548781803871,7.702594619861526,10.626326432050757,9.873663184,2012-10-18 00:00:00
152,2012-10-18 09:00:00,9.591406805764757,8.051014883051115,10.996096668458826,9.65183538,2012-10-18 00:00:00
153,2012-10-18 10:00:00,10.041803200741423,8.462557826017347,11.468029654241262,9.872351773,2012-10-18 00:00:00
154,2012-10-18 11:00:00,10.514629512235219,9.138877165038007,12.04594715705713,10.08099076,2012-10-18 00:00:00
155,2012-10-18 12:00:00,10.972605286168372,9.533787386383091,12.514120639598623,10.2454532,2012-10-18 00:00:00
156,2012-10-18 13:00:00,11.376819497899346,9.917549963659932,12.896835271942887,10.46364504,2012-10-18 00:00:00
157,2012-10-18 14:00:00,11.698265266035651,10.2110738085719,13.168470723860485,10.756256310000001,2012-10-18 00:00:00
158,2012-10-18 15:00:00,11.921277685018238,10.536285054696169,13.508314028925506,11.017091039999999,2012-10-18 00:00:00
159,2012-10-18 16:00:00,12.042487976463647,10.582374019295798,13.483208750169855,11.117679200000001,2012-10-18 00:00:00
160,2012-10-18 17:00:00,12.068936537050263,10.49252929033661,13.43114581594827,11.0807947,2012-10-18 00:00:00
161,2012-10-18 18:00:00,12.013258995605963,10.485499741602435,13.529997029409634,10.81245339,2012-10-18 00:00:00
162,2012-10-18 19:00:00,11.882617555461351,10.512650630462003,13.413531703850225,10.521132680000001,2012-10-18 00:00:00
163,2012-10-18 20:00:00,11.665750562623845,10.260355708302276,13.168546992403531,10.814696040000001,2012-10-18 00:00:00
164,2012-10-18 21:00:00,11.331221602353207,9.711902739825716,12.793669649990292,10.57846489,2012-10-18 00:00:00
165,2012-10-18 22:00:00,10.847186536150792,9.440924218418825,12.400157322955472,10.03231871,2012-10-18 00:00:00
166,2012-10-18 23:00:00,10.216304539799854,8.636844452273825,11.740958122744974,9.226078170000001,2012-10-18 00:00:00
167,2012-10-19 00:00:00,9.50189347843316,8.135973503793425,11.029556051291305,8.3742684,2012-10-18 00:00:00
168,2013-01-26 01:00:00,7.816911818116774,6.3656813599552775,9.34291434064742,7.648877533,2013-01-26 00:00:00
169,2013-01-26 02:00:00,7.2895253977218575,5.796141008347065,8.630511553119867,7.329529367,2013-01-26 00:00:00
170,2013-01-26 03:00:00,6.9948445492559355,5.4969938242541305,8.441870226273316,7.117176747,2013-01-26 00:00:00
171,2013-01-26 04:00:00,6.943037740903589,5.479069564034814,8.443751220716786,6.992994415999999,2013-01-26 00:00:00
172,2013-01-26 05:00:00,7.083402816946528,5.5286588583567395,8.532103764464875,7.001690070000001,2013-01-26 00:00:00
173,2013-01-26 06:00:00,7.339844938069225,5.965398537269296,8.756889840032812,7.1657943269999995,2013-01-26 00:00:00
174,2013-01-26 07:00:00,7.6506906437206865,6.165162396503549,9.12267485769155,7.466854998999999,2013-01-26 00:00:00
175,2013-01-26 08:00:00,7.988808434345021,6.49503980020658,9.489774474105575,7.664855773999999,2013-01-26 00:00:00
176,2013-01-26 09:00:00,8.354300153068717,6.907925636715505,9.841624666229645,8.013928193000002,2013-01-26 00:00:00
177,2013-01-26 10:00:00,8.751224705569975,7.3112730032450735,10.17739878882551,8.485846458,2013-01-26 00:00:00
178,2013-01-26 11:00:00,9.167819611550453,7.591905163382887,10.545916304265663,8.862601705,2013-01-26 00:00:00
179,2013-01-26 12:00:00,9.57282231782748,8.196827179569587,11.061540007586917,9.09607467,2013-01-26 00:00:00
180,2013-01-26 13:00:00,9.926786002288907,8.485573163459058,11.332607142682702,9.228490348,2013-01-26 00:00:00
181,2013-01-26 14:00:00,10.198006648109985,8.705480435253397,11.707980629496182,9.317274116,2013-01-26 00:00:00
182,2013-01-26 15:00:00,10.372804998643769,8.962691795227492,11.878826977450842,9.347086244,2013-01-26 00:00:00
183,2013-01-26 16:00:00,10.455925984262052,8.880303079578681,11.869379071205106,9.347108638,2013-01-26 00:00:00
184,2013-01-26 17:00:00,10.462381409795535,8.96202013261555,12.07528737604844,9.249287165,2013-01-26 00:00:00
185,2013-01-26 18:00:00,10.404534219077032,8.924436531707345,11.873204008881746,9.127200871,2013-01-26 00:00:00
186,2013-01-26 19:00:00,10.279460184024249,8.845610914858797,11.819000094298717,9.462211839,2013-01-26 00:00:00
187,2013-01-26 20:00:00,10.06332927691357,8.550475293350443,11.621068610101405,9.366656724,2013-01-26 00:00:00
188,2013-01-26 21:00:00,9.719559385410811,8.273417565326112,11.262445747042097,9.107154805,2013-01-26 00:00:00
189,2013-01-26 22:00:00,9.221961837547138,7.72845678077632,10.744982049901376,8.798493898999999,2013-01-26 00:00:00
190,2013-01-26 23:00:00,8.583452065771633,6.9901163293330235,9.945699310893081,8.368845785,2013-01-26 00:00:00
191,2013-01-27 00:00:00,7.8724254832074045,6.362255409783902,9.273302386428321,7.9006685,2013-01-26 00:00:00
192,2013-05-06 01:00:00,8.454595389675294,7.029365479574206,9.83857420764791,7.332965768000001,2013-05-06 00:00:00
193,2013-05-06 02:00:00,8.001559450968035,6.553365112092834,9.546175639462941,7.0830352040000015,2013-05-06 00:00:00
194,2013-05-06 03:00:00,7.778597685713317,6.312411909449137,9.232878479642467,6.938008105,2013-05-06 00:00:00
195,2013-05-06 04:00:00,7.79635493266527,6.20587061633311,9.225845341859094,6.892755544,2013-05-06 00:00:00
196,2013-05-06 05:00:00,8.007287285131312,6.561586471094694,9.450914299710483,7.0887026780000015,2013-05-06 00:00:00
197,2013-05-06 06:00:00,8.336867552749316,6.92518806857108,9.758960255074236,7.699637036,2013-05-06 00:00:00
198,2013-05-06 07:00:00,8.719710772300942,7.315557328625878,10.232260561846918,8.467824745,2013-05-06 00:00:00
199,2013-05-06 08:00:00,9.120847612825852,7.604120150324898,10.7034469781383,8.633035873,2013-05-06 00:00:00
200,2013-05-06 09:00:00,9.53407892399765,8.086291025227464,11.005755821102674,8.856331805,2013-05-06 00:00:00
201,2013-05-06 10:00:00,9.963936550283847,8.686481802159175,11.442264558639087,9.104065241,2013-05-06 00:00:00
202,2013-05-06 11:00:00,10.405818595454772,8.903415338214518,11.768815924343798,9.351447167,2013-05-06 00:00:00
203,2013-05-06 12:00:00,10.83683731120573,9.424565621618896,12.278572015588523,9.56392325,2013-05-06 00:00:00
204,2013-05-06 13:00:00,11.221224254298916,9.748427254373341,12.681956931390276,9.737189968000001,2013-05-06 00:00:00
205,2013-05-06 14:00:00,11.525176750467686,10.069144348733342,12.999538608031635,10.007785250000001,2013-05-06 00:00:00
206,2013-05-06 15:00:00,11.731455453483715,10.256283220117837,13.277748253619096,10.26475795,2013-05-06 00:00:00
207,2013-05-06 16:00:00,11.844918584666498,10.434060234531955,13.349337006500656,10.50175411,2013-05-06 00:00:00
208,2013-05-06 17:00:00,11.88514074082828,10.401179436102096,13.245469453000894,10.60271745,2013-05-06 00:00:00
209,2013-05-06 18:00:00,11.869182329810364,10.54016652953301,13.441891920642524,10.42300086,2013-05-06 00:00:00
210,2013-05-06 19:00:00,11.793874428100867,10.37669792967753,13.247034746528884,10.14814621,2013-05-06 00:00:00
211,2013-05-06 20:00:00,11.629407099644556,9.992701624572923,13.057871638631495,10.140569900000001,2013-05-06 00:00:00
212,2013-05-06 21:00:00,11.331783225340422,9.78674303193928,12.830006261361884,10.3971541,2013-05-06 00:00:00
213,2013-05-06 22:00:00,10.871245263675105,9.421417813437003,12.403040204008207,10.07277378,2013-05-06 00:00:00
214,2013-05-06 23:00:00,10.262374548497839,8.764796810642169,11.77473141450151,9.348748639,2013-05-06 00:00:00
215,2013-05-07 00:00:00,9.577104982300689,8.095567469208524,11.177537747279565,8.5029318,2013-05-06 00:00:00
216,2013-08-14 01:00:00,13.154440071766523,11.560935251067775,14.570541556886182,12.62814998,2013-08-14 00:00:00
217,2013-08-14 02:00:00,12.649024422660663,11.226674934399371,14.180068411137771,11.9166022,2013-08-14 00:00:00
218,2013-08-14 03:00:00,12.381047125479995,10.938586033961467,13.958212131581888,11.43007948,2013-08-14 00:00:00
219,2013-08-14 04:00:00,12.35841827530065,10.82065040850762,13.86627530226556,11.190199660000001,2013-08-14 00:00:00
