,horizon,mse,rmse,mae,mape,coverage
488,0 days 09:00:00.000000000,1.0615097977395391,1.0302959757950816,0.8189921931973637,0.0795098465160598,0.8387096774193549
608,0 days 09:00:00.000000000,1.0608940489272505,1.029997111125682,0.8185505743929745,0.07934730903609216,0.8387096774193549
320,0 days 09:00:00.000000000,1.0565708688249835,1.0278963317499403,0.8130382650326332,0.07849969833263047,0.8387096774193549
464,0 days 09:00:00.000000000,0.9605079559435167,0.9800550780152698,0.7828998565571389,0.07560140657066193,0.8548387096774194
272,0 days 09:00:00.000000000,0.9599560934655285,0.9797734908975281,0.7808674363779593,0.07542648650539904,0.8548387096774194
32,0 days 09:00:00.000000000,0.9696404241424995,0.9847032162750864,0.7843164040327659,0.07539129770927916,0.8387096774193549
584,0 days 09:00:00.000000000,0.9675998655169419,0.9836665418305849,0.7786427030714796,0.07468491642367307,0.8387096774193549
368,0 days 09:00:00.000000000,0.9756409325687074,0.9877453784091867,0.7874456362783243,0.07543171239654542,0.8387096774193549
344,0 days 09:00:00.000000000,0.9708662482121606,0.9853254529403778,0.7830574460675713,0.0753288588397268,0.8387096774193549
224,0 days 09:00:00.000000000,0.9482060353963978,0.9737587151837963,0.7753853306930474,0.07407686479829544,0.8548387096774194
392,0 days 09:00:00.000000000,0.9493832083376256,0.974362975660316,0.7784178349017766,0.07430011307565987,0.8548387096774194
200,0 days 09:00:00.000000000,0.9488833030038879,0.9741064125668653,0.7780550553618212,0.07451056914939896,0.8548387096774194
104,0 days 09:00:00.000000000,0.9285599187480629,0.9636181394868316,0.7616967660727413,0.07291063998022866,0.8548387096774194
416,0 days 09:00:00.000000000,0.9619009012791614,0.9807654670099072,0.78117688189076,0.07445342607046265,0.8548387096774194
176,0 days 09:00:00.000000000,0.9086068794914329,0.9532087281867665,0.7568385830995473,0.07248942002056338,0.8709677419354839
80,0 days 09:00:00.000000000,0.9025233449022649,0.9500122867112114,0.7530996987118985,0.07196580640835885,0.8709677419354839
512,0 days 09:00:00.000000000,0.8628980231261709,0.9289230447815205,0.7386469262069315,0.0708142159753586,0.8870967741935484
536,0 days 09:00:00.000000000,0.8490082405150703,0.9214164316502448,0.7332796270338868,0.07019579756633769,0.8870967741935484
296,0 days 09:00:00.000000000,0.853333563485974,0.9237605552771638,0.7370804440494841,0.07021431290274621,0.8870967741935484
152,0 days 09:00:00.000000000,0.8412709270105171,0.9172082244564301,0.7240726593408326,0.06885214647382364,0.8870967741935484
56,0 days 09:00:00.000000000,0.8412043879188364,0.9171719511186746,0.7236687474613397,0.06875848897053397,0.8870967741935484
440,0 days 09:00:00.000000000,0.8212461140881017,0.906226304014677,0.710165122402165,0.06748862865946374,0.8870967741935484
585,0 days 10:00:00.000000000,0.8259567487092041,0.9088216264532903,0.7161842767195585,0.06789101341418625,0.8870967741935484
345,0 days 10:00:00.000000000,0.8118558787106213,0.9010304538197481,0.7062230169795819,0.06727100344862373,0.8870967741935484
105,0 days 10:00:00.000000000,0.7931030994785573,0.8905633607321588,0.6898739287232684,0.0656313688000277,0.8870967741935484
609,0 days 10:00:00.000000000,0.7921427924845963,0.8900240403969976,0.689162324182729,0.06523335202079569,0.8870967741935484
153,0 days 10:00:00.000000000,0.7870168376015263,0.8871396945247836,0.6824008628073406,0.0646662522427167,0.8870967741935484
417,0 days 10:00:00.000000000,0.7387636370556298,0.859513604927595,0.6682193544288717,0.0633673738165428,0.9032258064516129
177,0 days 10:00:00.000000000,0.7392411910210338,0.8597913648211605,0.6692410545513757,0.0634685407793963,0.9032258064516129
441,0 days 10:00:00.000000000,0.7330362929179269,0.8561753867741859,0.6634237538836569,0.0631376719442502,0.9032258064516129
81,0 days 10:00:00.000000000,0.7312085819905236,0.8551073511498563,0.6618439731788434,0.06317382180766566,0.9032258064516129
249,0 days 10:00:00.000000000,0.7331928989656148,0.856266838646467,0.666207878010389,0.06357730067781542,0.9032258064516129
273,0 days 10:00:00.000000000,0.7273944854823163,0.8528742495129726,0.6577537282429545,0.06286257163808956,0.9032258064516129
321,0 days 10:00:00.000000000,0.7069936083354612,0.8408291195810604,0.6457185180586605,0.06158185408520759,0.9032258064516129
513,0 days 10:00:00.000000000,0.716265756470668,0.8463248528022015,0.6523920832250658,0.062287314351648075,0.9032258064516129
9,0 days 10:00:00.000000000,0.716379141575699,0.8463918369028018,0.6526674676174342,0.062415659490799066,0.9032258064516129
489,0 days 10:00:00.000000000,0.7303000577818948,0.8545759520264391,0.6574612181541979,0.06265612516587256,0.9032258064516129
129,0 days 10:00:00.000000000,0.7512388415202099,0.8667403541546972,0.6674046314632259,0.06344155944058132,0.9032258064516129
465,0 days 10:00:00.000000000,0.7575664956701372,0.870382959202521,0.6714496195215623,0.06379652175580569,0.9032258064516129
225,0 days 10:00:00.000000000,0.7508238433201846,0.8665009193995034,0.6677960594481225,0.06311606473483325,0.9032258064516129
369,0 days 10:00:00.000000000,0.7333328403834226,0.8563485507568881,0.6583770873035912,0.062047123736674925,0.9032258064516129
57,0 days 10:00:00.000000000,0.7276746026497618,0.8530384532069828,0.6539303619393061,0.061653757805951864,0.9032258064516129
537,0 days 10:00:00.000000000,0.737974707395484,0.8590545427360733,0.659835259641225,0.06207606175639078,0.9032258064516129
393,0 days 10:00:00.000000000,0.7395553773035308,0.8599740561804936,0.6632353098693881,0.0622110027938512,0.9032258064516129
561,0 days 10:00:00.000000000,0.7296935594243676,0.8542210249252635,0.6529339839378584,0.06126058387161103,0.9032258064516129
33,0 days 10:00:00.000000000,0.6618978555477043,0.8135710513210904,0.6304508032163217,0.05929801188668336,0.9193548387096774
297,0 days 10:00:00.000000000,0.6639057859897066,0.8148041396493434,0.634289925611245,0.05950201119002868,0.9193548387096774
201,0 days 10:00:00.000000000,0.6758311676319115,0.8220895131504303,0.6481227278817873,0.06102062351254687,0.9193548387096774
346,0 days 11:00:00.000000000,0.6639731161424179,0.8148454553732369,0.6393204811541814,0.05985633387089076,0.9193548387096774
154,0 days 11:00:00.000000000,0.6668803655301676,0.8166274337359526,0.6448908067217566,0.060429630193845535,0.9193548387096774
442,0 days 11:00:00.000000000,0.6698015956047935,0.8184140734400854,0.6486528537040086,0.06079665902148028,0.9193548387096774
226,0 days 11:00:00.000000000,0.6692693156916271,0.8180888189503797,0.6477540000547074,0.06041188289588479,0.9193548387096774
370,0 days 11:00:00.000000000,0.6625699201569757,0.8139839802827668,0.6430340491187357,0.05965526098912322,0.9193548387096774
466,0 days 11:00:00.000000000,0.6365959050197579,0.7978696040204551,0.6347884028466638,0.05846511625136265,0.9354838709677419
610,0 days 11:00:00.000000000,0.63966833604172,0.7997926831634058,0.6414200986552555,0.059063286301195485,0.9354838709677419
298,0 days 11:00:00.000000000,0.6396293907829147,0.7997683356966032,0.6412227905028443,0.05903350760824019,0.9354838709677419
106,0 days 11:00:00.000000000,0.6141686150690053,0.7836891061313825,0.625922381758104,0.05755972674947957,0.9354838709677419
10,0 days 11:00:00.000000000,0.5614584011248942,0.7493052789917433,0.5990754806734702,0.05531380469728865,0.9516129032258065
586,0 days 11:00:00.000000000,0.5783952088998944,0.7605229838077837,0.6112471913859968,0.05612948749868919,0.9516129032258065
58,0 days 11:00:00.000000000,0.5838363416465964,0.7640918411072037,0.6145009219872426,0.05601954914309723,0.9516129032258065
538,0 days 11:00:00.000000000,0.5689530606410477,0.7542897723296053,0.6080878914429321,0.05530051694324582,0.967741935483871
514,0 days 11:00:00.000000000,0.58502471463173,0.7648690833284674,0.6220712572030657,0.05676650109075403,0.967741935483871
322,0 days 11:00:00.000000000,0.5263817112185506,0.7255216821147047,0.6009039629877829,0.05505554102803841,0.9838709677419355
